tune_id,annotated_key,Krumhansl-Schmuckler,Aarden-Essen,Simple Weights,Bellman-Budge,Temperley-Kostka-Payne,Albrecht-Shanahan
chor257,B- major,B- major (0.90),B- major (0.92),B- major (0.94),B- major (0.93),B- major (0.95),B- major (0.96)
chor258,G major,G major (0.97),G major (0.96),G major (0.97),G major (0.96),G major (0.97),G major (0.99)
chor259,F# minor,F# minor (0.86),F# minor (0.93),F# minor (0.86),A major (0.84),A major (0.90),F# minor (0.87)
chor260,B- major,B- major (0.94),B- major (0.92),B- major (0.95),B- major (0.93),B- major (0.97),B- major (0.96)
chor261,E minor,E minor (0.80),E minor (0.95),E minor (0.91),E minor (0.87),E minor (0.86),E minor (0.96)
chor262,G dorian,D major (0.78),G minor (0.84),G minor (0.88),G minor (0.92),G minor (0.86),G minor (0.91)
chor263,E minor,E minor (0.89),E minor (0.92),E minor (0.93),E minor (0.89),E minor (0.90),E minor (0.98)
chor264,B- major,F major (0.90),B- major (0.89),B- major (0.93),B- major (0.93),B- major (0.91),B- major (0.91)
chor265,B minor,B minor (0.82),B minor (0.94),B minor (0.89),B minor (0.81),B minor (0.84),B minor (0.93)
chor266,G minor,G minor (0.83),G minor (0.97),G minor (0.93),G minor (0.89),G minor (0.89),G minor (0.97)
chor267,D minor,D minor (0.83),D minor (0.92),D minor (0.94),D minor (0.90),D minor (0.89),D minor (0.98)
chor268,C major,C major (0.92),C major (0.96),C major (0.96),C major (0.96),C major (0.98),C major (0.96)
chor269,G minor,G minor (0.81),G minor (0.95),G minor (0.94),G minor (0.92),G minor (0.91),G minor (0.97)
chor270,A minor,A minor (0.90),A minor (0.94),A minor (0.96),A minor (0.88),A minor (0.93),A minor (0.95)
chor271,E minor,E minor (0.91),E minor (0.94),E minor (0.97),E minor (0.89),E minor (0.93),E minor (0.96)
chor272,B- major,F major (0.87),B- major (0.90),B- major (0.89),B- major (0.92),B- major (0.88),B- major (0.87)
chor273,D major,D major (0.85),D major (0.91),D major (0.95),D major (0.94),D major (0.94),D major (0.92)
chor274,F major,F major (0.95),F major (0.91),F major (0.92),F major (0.89),F major (0.93),F major (0.93)
chor275,A major,E major (0.91),A major (0.92),A major (0.95),A major (0.96),A major (0.94),A major (0.93)
chor276,G major,D major (0.89),G major (0.91),G major (0.96),G major (0.96),G major (0.92),G major (0.95)
chor277,C major,C major (0.83),A minor (0.94),C major (0.89),C major (0.87),C major (0.92),C major (0.88)
chor278,E major,E major (0.89),E major (0.94),E major (0.96),E major (0.96),E major (0.95),E major (0.97)
chor279,B- major,F major (0.90),B- major (0.93),B- major (0.94),B- major (0.96),B- major (0.93),B- major (0.94)
chor280,D major,D major (0.94),D major (0.95),D major (0.97),D major (0.96),D major (0.97),D major (0.98)
chor281,G minor,G minor (0.76),G minor (0.93),G minor (0.90),G minor (0.90),G minor (0.90),G minor (0.92)
chor282,C major,C major (0.93),C major (0.95),C major (0.96),C major (0.95),C major (0.96),C major (0.98)
chor283,E minor,E minor (0.91),E minor (0.96),E minor (0.93),E minor (0.89),E minor (0.91),E minor (0.97)
chor284,C mixolydian,C major (0.88),F major (0.92),F major (0.90),F major (0.93),F major (0.92),F major (0.87)
chor285,A minor,A minor (0.84),A minor (0.97),A minor (0.87),A minor (0.80),A minor (0.86),A minor (0.90)
chor286,B minor,B minor (0.92),B minor (0.96),B minor (0.93),B minor (0.86),B minor (0.91),B minor (0.96)
chor287,A minor,A minor (0.83),A minor (0.93),A minor (0.94),A minor (0.92),A minor (0.91),A minor (0.97)
chor288,A mixolydian,A major (0.93),A major (0.89),A major (0.95),A major (0.92),A major (0.91),A major (0.93)
chor289,B- major,B- major (0.92),B- major (0.94),B- major (0.99),B- major (0.98),B- major (0.97),B- major (0.98)
chor290,E major,B major (0.88),E major (0.93),E major (0.92),E major (0.93),E major (0.90),E major (0.90)
chor291,D major,D major (0.95),D major (0.93),D major (0.98),D major (0.96),D major (0.94),D major (0.99)
chor292,D minor,D minor (0.87),D minor (0.95),D minor (0.96),D minor (0.87),D minor (0.90),D minor (0.97)
chor293,G major,G major (0.93),G major (0.95),G major (0.96),G major (0.97),G major (0.95),G major (0.98)
chor294,B minor,B minor (0.80),B minor (0.96),B minor (0.92),B minor (0.91),B minor (0.90),B minor (0.97)
chor295,E minor,B minor (0.75),B minor (0.90),B minor (0.86),E minor (0.74),B minor (0.77),B minor (0.87)
chor296,C major,C major (0.93),C major (0.92),C major (0.95),C major (0.93),C major (0.96),C major (0.95)
chor297,G minor,G minor (0.85),G minor (0.93),G minor (0.97),G minor (0.95),G minor (0.95),G minor (0.98)
chor298,C major,C major (0.97),C major (0.91),C major (0.95),C major (0.92),C major (0.93),C major (0.99)
chor299,E- major,E- major (0.94),E- major (0.95),E- major (0.96),E- major (0.94),E- major (0.97),E- major (0.96)
chor300,A minor,A minor (0.90),A minor (0.95),A minor (0.97),A minor (0.92),A minor (0.94),A minor (0.99)
chor301,G minor,G minor (0.85),G minor (0.97),G minor (0.88),G minor (0.82),G minor (0.87),G minor (0.90)
chor302,G dorian,G minor (0.82),G minor (0.97),G minor (0.89),G minor (0.83),G minor (0.86),G minor (0.92)
chor303,F major,F major (0.92),F major (0.96),F major (0.95),F major (0.94),F major (0.97),F major (0.95)
chor304,G minor,D minor (0.72),G minor (0.93),G minor (0.89),G minor (0.90),G minor (0.90),G minor (0.89)
chor305,D major,D major (0.91),D major (0.94),D major (0.96),D major (0.97),D major (0.96),D major (0.98)
chor306,E- major,E- major (0.88),E- major (0.95),E- major (0.94),E- major (0.95),E- major (0.97),E- major (0.94)
chor307,A minor,A minor (0.86),A minor (0.91),A minor (0.95),A minor (0.84),A minor (0.89),A minor (0.94)
chor308,A major,E major (0.88),E major (0.87),A major (0.92),A major (0.91),A major (0.90),A major (0.90)
chor309,A- major,A- major (0.89),A- major (0.93),A- major (0.94),A- major (0.93),A- major (0.93),A- major (0.93)
chor310,E major,B major (0.87),E major (0.94),E major (0.95),E major (0.95),E major (0.94),E major (0.94)
chor311,F major,C major (0.88),F major (0.95),F major (0.95),F major (0.97),F major (0.94),F major (0.95)
chor312,D major,D major (0.97),D major (0.92),D major (0.98),D major (0.95),D major (0.95),D major (0.99)
chor313,G major,G major (0.90),G major (0.95),G major (0.94),G major (0.94),G major (0.96),G major (0.93)
chor314,E minor,B minor (0.86),B minor (0.89),B minor (0.95),B minor (0.81),B minor (0.86),B minor (0.93)
chor315,G major,G major (0.95),G major (0.90),G major (0.97),G major (0.93),G major (0.93),G major (0.99)
chor316,G major,G major (0.92),G major (0.94),G major (0.95),G major (0.94),G major (0.94),G major (0.94)
chor317,C major,C major (0.88),C major (0.92),C major (0.95),C major (0.95),C major (0.95),C major (0.96)
chor318,A major,A major (0.93),A major (0.90),A major (0.94),A major (0.92),A major (0.97),A major (0.95)
chor319,F major,C major (0.93),F major (0.91),F major (0.94),F major (0.94),F major (0.91),F major (0.93)
chor320,F# minor,F# minor (0.79),F# minor (0.87),A major (0.88),A major (0.84),A major (0.86),A major (0.84)
chor321,G minor,G minor (0.88),G minor (0.97),G minor (0.95),G minor (0.94),G minor (0.95),G minor (0.98)
chor322,G major,G major (0.91),G major (0.99),G major (0.92),G major (0.96),G major (0.99),G major (0.95)
chor323,F major,F major (0.90),F major (0.94),F major (0.97),F major (0.97),F major (0.96),F major (0.98)
chor324,E minor,E minor (0.85),E minor (0.89),E minor (0.92),E minor (0.90),E minor (0.89),E minor (0.97)
chor325,D dorian,A minor (0.82),D minor (0.91),D minor (0.85),D minor (0.85),D minor (0.83),D minor (0.90)
chor326,A major,A major (0.89),A major (0.97),A major (0.95),A major (0.97),A major (0.97),A major (0.94)
chor327,D major,D major (0.92),D major (0.95),D major (0.92),D major (0.91),D major (0.95),D major (0.94)
chor328,G major,G major (0.94),G major (0.92),G major (0.94),G major (0.92),G major (0.93),G major (0.98)
chor329,G major,G major (0.89),G major (0.92),G major (0.97),G major (0.95),G major (0.95),G major (0.95)
chor330,G major,D major (0.90),G major (0.94),G major (0.94),G major (0.96),G major (0.92),G major (0.94)
chor331,B minor,F# minor (0.75),B minor (0.91),B minor (0.87),B minor (0.88),B minor (0.87),B minor (0.87)
chor332,A minor,A minor (0.79),A minor (0.94),A minor (0.88),A minor (0.81),A minor (0.82),A minor (0.92)
chor333,D major,D major (0.91),D major (0.93),D major (0.95),D major (0.95),D major (0.97),D major (0.97)
chor334,D major,D major (0.90),D major (0.91),D major (0.94),D major (0.91),D major (0.95),D major (0.94)
chor335,F major,C major (0.87),F major (0.92),F major (0.97),F major (0.95),F major (0.93),F major (0.94)
chor336,B minor,B minor (0.79),B minor (0.94),D major (0.85),D major (0.83),D major (0.87),B minor (0.83)
chor337,F major,F major (0.95),F major (0.94),F major (0.98),F major (0.97),F major (0.96),F major (0.99)
chor338,D major,D major (0.92),D major (0.95),D major (0.94),D major (0.94),D major (0.97),D major (0.96)
chor339,A minor,A minor (0.81),A minor (0.89),A minor (0.94),A minor (0.93),A minor (0.91),A minor (0.97)
chor340,D minor,A minor (0.84),D minor (0.88),F major (0.80),F major (0.78),F major (0.86),D minor (0.83)
chor341,A major,E major (0.92),A major (0.93),A major (0.93),A major (0.95),A major (0.92),A major (0.92)
chor342,A major,E major (0.89),A major (0.93),A major (0.97),A major (0.98),A major (0.95),A major (0.96)
chor343,D major,D major (0.87),D major (0.94),D major (0.93),D major (0.93),D major (0.94),D major (0.91)
chor344,G major,G major (0.92),G major (0.92),G major (0.97),G major (0.94),G major (0.95),G major (0.95)
chor345,A minor,A minor (0.91),A minor (0.96),A minor (0.91),A minor (0.83),A minor (0.90),A minor (0.92)
chor346,E minor,E minor (0.86),E minor (0.89),G major (0.87),G major (0.85),G major (0.90),E minor (0.87)
chor347,G major,G major (0.92),G major (0.94),G major (0.98),G major (0.97),G major (0.95),G major (0.98)
chor348,C major,G major (0.89),C major (0.93),C major (0.96),C major (0.95),C major (0.93),C major (0.95)
chor349,B minor,B minor (0.85),B minor (0.94),B minor (0.88),D major (0.81),D major (0.85),B minor (0.90)
chor350,B- major,B- major (0.94),B- major (0.94),B- major (0.97),B- major (0.96),B- major (0.95),B- major (0.95)
chor351,A major,A major (0.94),A major (0.95),A major (0.98),A major (0.96),A major (0.97),A major (0.98)
chor352,A minor,A minor (0.79),A minor (0.94),A minor (0.95),A minor (0.87),A minor (0.89),A minor (0.94)
chor353,G major,G major (0.89),G major (0.95),G major (0.93),G major (0.94),G major (0.96),G major (0.93)
chor354,G major,G major (0.91),G major (0.92),G major (0.97),G major (0.95),G major (0.94),G major (0.96)
chor355,B- major,F major (0.88),B- major (0.94),B- major (0.95),B- major (0.97),B- major (0.96),B- major (0.94)
chor356,D minor,D minor (0.86),D minor (0.90),D minor (0.92),D minor (0.91),D minor (0.89),D minor (0.98)
chor357,G mixolydian,G major (0.91),C major (0.88),G major (0.94),G major (0.90),G major (0.88),G major (0.91)
chor358,G minor,G minor (0.80),G minor (0.90),B- major (0.82),B- major (0.82),B- major (0.87),G minor (0.85)
chor359,B minor,B minor (0.90),B minor (0.95),B minor (0.90),B minor (0.82),B minor (0.89),B minor (0.90)
chor360,F# minor,F# minor (0.87),F# minor (0.95),F# minor (0.97),F# minor (0.96),F# minor (0.96),F# minor (0.99)
chor361,G major,D major (0.83),G major (0.92),G major (0.87),G major (0.92),G major (0.92),G major (0.85)
chor362,G major,G major (0.96),G major (0.95),G major (0.97),G major (0.96),G major (0.99),G major (0.99)
chor363,A major,A major (0.88),A major (0.96),A major (0.96),A major (0.98),A major (0.97),A major (0.95)
chor364,B minor,F# minor (0.80),B minor (0.95),B minor (0.89),B minor (0.83),B minor (0.84),B minor (0.93)
chor365,A major,A major (0.92),A major (0.93),A major (0.96),A major (0.95),A major (0.94),A major (0.93)
chor366,A major,A major (0.90),A major (0.95),A major (0.97),A major (0.98),A major (0.97),A major (0.97)
chor367,B minor,B minor (0.90),B minor (0.94),B minor (0.86),D major (0.81),D major (0.87),B minor (0.88)
chor368,F major,F major (0.96),F major (0.94),F major (0.98),F major (0.97),F major (0.98),F major (0.99)
chor369,B- dorian,B- minor (0.82),B- minor (0.97),B- minor (0.94),B- minor (0.92),B- minor (0.93),B- minor (0.96)
chor370,A minor,A minor (0.83),A minor (0.95),A minor (0.96),A minor (0.94),A minor (0.93),A minor (0.98)
chor371,E minor,E minor (0.78),E minor (0.89),E minor (0.90),E minor (0.84),E minor (0.82),E minor (0.95)
